Player_Name,Matches_Batted,Not_Outs,Runs_Scored,Balls_Faced,Centuries,Half_Centuries,Fours,Sixes,Catches_Taken,Stumpings,Matches_Bowled,Balls_Bowled,Runs_Conceded,Wickets_Taken,Four_Wicket_Hauls,Five_Wicket_Hauls
Abdul Samad,35,8,410,298,0,0,23,26,18,0,35,54,113,2,0,0
Abhinav Manohar,17,1,222,158,0,0,20,10,8,0,17,0,0,0,0,0
Abhishek Sharma,48,6,925,669,0,4,96,33,11,0,48,228,338,9,0,0
Abid Mushtaq,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abishek Porel,5,1,65,41,0,0,5,4,4,0,5,0,0,0,0,0
Adam Zampa,11,0,5,8,0,0,1,0,0,0,14,287,370,21,0,1
Aiden Markram,34,7,793,603,0,4,57,31,21,0,34,109,157,2,0,0
Ajay Mandal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ajinkya Rahane,174,17,4439,3596,2,30,455,98,70,0,170,6,5,1,0,0
Akash Deep,7,0,17,10,0,0,2,1,3,0,7,143,264,6,0,0
Akash Madhwal,8,0,0,0,0,0,0,0,0,0,8,153,219,14,1,1
Akash Singh,6,0,0,0,0,0,0,0,1,0,7,138,227,5,0,0
Alzarri Joseph,21,6,27,32,0,0,3,0,4,0,21,422,657,21,0,1
Amit Mishra,154,25,381,419,0,0,31,5,24,0,161,3359,4129,173,4,1
Andre Russell,113,19,2326,1325,0,11,153,200,32,0,113,1533,2376,98,2,1
Angkrish Raghuvanshi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anmolpreet Singh,7,0,134,109,0,0,18,3,1,0,7,0,0,0,0,0
Anrich Nortje,40,9,45,41,0,0,6,0,9,0,40,922,1280,53,0,0
Anshul Kamboj,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anuj Rawat,21,4,279,229,0,1,21,14,16,0,21,0,0,0,0,0
Anukul Roy,6,2,23,21,0,0,3,0,5,0,7,102,131,5,0,0
Arjun Tendulkar,4,0,13,9,0,0,0,1,0,0,4,59,92,3,0,0
Arshdeep Singh,53,7,25,37,0,0,3,0,11,0,53,1106,1615,59,1,1
Arshin Kulkarni,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashton Turner,4,1,3,10,0,0,0,0,0,0,0,0,0,0,0,0
Ashutosh Sharma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atharva Taide,7,0,186,129,0,2,20,6,5,0,7,0,0,0,0,0
Avanish Rao Aravelly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Avesh Khan,48,6,31,20,0,0,2,3,9,0,48,1024,1469,55,1,0
Axar Patel,137,32,1439,1097,0,1,90,70,59,0,137,2859,3446,112,1,0
Ayush Badoni,29,5,400,307,0,2,24,19,11,0,29,19,17,2,0,0
Azmatullah Omarzai,1,0,17,11,0,0,1,1,0,0,2,36,57,2,0,0
B. Sai Sudharsan,14,2,552,409,0,4,50,16,3,0,14,0,0,0,0,0
BR Sharath,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhuvneshwar Kumar,161,30,283,297,0,0,27,3,32,0,161,3592,4447,170,2,2
Cameron Green,18,7,473,309,1,2,41,22,6,0,18,258,407,8,0,0
Chetan Sakariya,19,2,20,31,0,0,3,0,6,0,19,426,599,20,0,0
Chris Woakes,21,6,78,77,0,0,7,2,7,0,21,440,658,30,0,0
Darshan Nalkande,3,0,0,1,0,0,0,0,0,0,3,55,103,3,0,0
Daryl Mitchell,4,1,63,70,0,0,2,2,2,0,4,12,27,0,0,0
David Miller,122,40,2726,1972,1,12,188,126,71,0,122,0,0,0,0,0
David Warner,177,22,6426,4593,4,61,649,228,79,0,177,1,2,0,0,0
David Willey,11,3,53,62,0,0,7,0,4,0,11,216,272,6,0,0
Deepak Chahar,75,6,80,59,0,0,2,6,13,0,75,1552,2056,73,2,0
Deepak Hooda,108,15,1346,1039,0,7,82,60,51,0,108,355,509,10,0,0
Devdutt Padikkal,58,2,1521,1216,1,9,166,42,24,0,58,0,0,0,0,0
Devon Conway,23,3,924,654,0,9,99,30,8,0,23,0,0,0,0,0
Dewald Brevis,8,0,207,151,0,0,16,14,3,0,8,3,8,1,0,0
Dhruv Jurel,14,5,172,100,0,0,12,10,4,0,14,0,0,0,0,0
Dilshan Madushanka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dinesh Karthik,244,48,4582,3439,0,20,445,143,141,36,244,0,0,0,0,0
Donovan Ferreira,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dushmantha Chameera,12,4,43,28,0,0,3,3,2,0,12,264,384,9,0,0
Faf du Plessis,132,11,4171,3111,0,33,382,145,73,0,132,6,16,0,0,0
Fazalhaq Farooqi,7,2,3,13,0,0,0,0,1,0,7,152,227,6,0,0
Gerald Coetzee,1,0,1,3,0,0,0,0,0,0,1,24,27,2,0,0
Glenn Maxwell,126,17,2722,1731,0,18,226,158,45,0,126,872,1210,33,0,0
Glenn Phillips,8,1,65,55,0,0,3,6,3,0,8,30,40,2,0,0
Hardik Pandya,124,39,2320,1587,0,10,173,126,66,0,124,1220,1793,53,0,0
Harpreet Bhatia,7,1,96,85,0,0,8,3,3,0,7,0,0,0,0,0
Harpreet Brar,30,10,162,140,0,0,11,7,9,0,30,493,619,21,1,0
Harry Brook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harshal Patel,93,14,236,184,0,0,15,14,20,0,93,1915,2764,114,2,1
Harshit Rana,9,1,2,3,0,0,0,0,3,0,9,156,231,9,0,0
Heinrich Klaasen,20,3,577,339,1,3,37,34,6,5,17,0,0,0,0,0
Himanshu Sharma,1,0,0,0,0,0,0,0,0,0,1,18,28,0,0,0
Ishan Kishan,92,6,2324,1735,0,15,220,103,42,5,92,0,0,0,0,0
Ishant Sharma,71,17,56,62,0,0,4,2,9,0,102,2165,2925,84,0,1
Jake Fraser-McGurk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jasprit Bumrah,121,21,58,67,0,0,4,1,15,0,121,2766,3392,148,2,1
Jayant Yadav,20,1,40,36,0,0,2,1,8,0,20,390,445,8,0,0
Jaydev Unadkat,94,14,173,140,0,0,14,6,26,0,94,1944,2870,91,0,2
Jhathavedh Subramanyan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jhye Richardson,3,0,15,24,0,0,2,0,1,0,3,66,117,3,0,0
Jitesh Sharma,28,3,579,370,0,0,46,35,16,4,28,0,0,0,0,0
