Player_Name,Batting_Average,Batting_Strike_Rate,Bowling_Average,Economy_Rate,Bowling_Strike_Rate
Abdul Samad,18.6,124.4,21.0,6.0,9.6
Abhinav Manohar,18.5,140.5,0.0,0.0,0.0
Abhishek Sharma,25.571428571428573,141.42857142857142,20.571428571428573,6.285714285714286,13.285714285714286
Abid Mushtaq,0.0,0.0,0.0,0.0,0.0
Abishek Porel,4.0,213.0,0.0,0.0,0.0
Adam Zampa,1.6666666666666667,23.666666666666668,26.0,7.333333333333333,19.333333333333332
Aiden Markram,29.0,131.0,33.5,5.75,21.25
Ajay Mandal,0.0,0.0,0.0,0.0,0.0
Ajinkya Rahane,26.0625,115.4375,0.3125,0.3125,0.375
Akash Deep,8.5,106.0,50.0,10.5,26.0
Akash Madhwal,0.0,0.0,15.0,8.0,10.0
Akash Singh,0.0,0.0,18.5,9.0,11.0
Alzarri Joseph,1.25,61.0,41.0,9.25,24.75
Amit Mishra,10.2,69.93333333333334,24.666666666666668,6.933333333333334,19.4
Andre Russell,22.583333333333332,158.16666666666666,33.833333333333336,9.25,20.5
Angkrish Raghuvanshi,0.0,0.0,0.0,0.0,0.0
Anmolpreet Singh,16.0,114.0,0.0,0.0,0.0
Anrich Nortje,4.75,64.75,24.5,8.0,17.25
Anshul Kamboj,0.0,0.0,0.0,0.0,0.0
Anuj Rawat,18.75,97.0,0.0,0.0,0.0
Anukul Roy,3.6666666666666665,40.333333333333336,29.0,6.666666666666667,23.333333333333332
Arjun Tendulkar,13.0,144.0,30.0,9.0,19.0
Arshdeep Singh,1.1666666666666667,39.666666666666664,30.0,8.5,19.666666666666668
Arshin Kulkarni,0.0,0.0,0.0,0.0,0.0
Ashton Turner,0.5,15.0,0.0,0.0,0.0
Ashutosh Sharma,0.0,0.0,0.0,0.0,0.0
Atharva Taide,26.0,144.0,0.0,0.0,0.0
Avanish Rao Aravelly,0.0,0.0,0.0,0.0,0.0
Avesh Khan,2.75,58.5,18.75,8.25,12.875
Axar Patel,20.181818181818183,129.0,32.09090909090909,6.909090909090909,26.09090909090909
Ayush Badoni,14.666666666666666,93.66666666666667,1.6666666666666667,3.6666666666666665,2.0
Azmatullah Omarzai,17.0,154.0,28.0,9.0,18.0
B. Sai Sudharsan,44.0,127.66666666666667,0.0,0.0,0.0
BR Sharath,0.0,0.0,0.0,0.0,0.0
Bhuvneshwar Kumar,8.214285714285714,76.07142857142857,27.0,7.142857142857143,22.142857142857142
Cameron Green,30.0,118.5,41.5,9.0,26.5
Chetan Sakariya,2.3333333333333335,43.333333333333336,29.0,8.666666666666666,20.0
Chris Woakes,6.333333333333333,107.33333333333333,20.333333333333332,8.333333333333334,13.666666666666666
Darshan Nalkande,0.0,0.0,36.5,11.0,19.5
Daryl Mitchell,23.0,95.0,0.0,6.5,0.0
David Miller,31.46153846153846,119.3076923076923,0.0,0.0,0.0
David Warner,39.733333333333334,137.86666666666667,0.0,0.8,0.0
David Willey,3.0,56.333333333333336,51.333333333333336,7.333333333333333,42.0
Deepak Chahar,5.0,86.25,30.75,8.0,21.125
Deepak Hooda,26.5,133.6,31.4,7.8,21.3
Devdutt Padikkal,22.0,100.2,0.0,0.0,0.0
Devon Conway,46.5,142.0,0.0,0.0,0.0
Dewald Brevis,34.5,131.5,4.0,8.0,1.5
Dhruv Jurel,10.5,169.0,0.0,0.0,0.0
Dilshan Madushanka,0.0,0.0,0.0,0.0,0.0
Dinesh Karthik,25.294117647058822,135.64705882352942,0.0,0.0,0.0
Donovan Ferreira,0.0,0.0,0.0,0.0,0.0
Dushmantha Chameera,10.0,153.0,42.0,8.0,29.0
Faf du Plessis,32.5,129.66666666666666,0.0,1.3333333333333333,0.0
Fazalhaq Farooqi,0.0,22.5,42.0,8.5,28.0
Gerald Coetzee,1.0,33.0,13.0,6.0,12.0
Glenn Maxwell,21.083333333333332,133.91666666666666,35.166666666666664,8.416666666666666,23.25
Glenn Phillips,10.0,127.5,20.0,8.0,15.0
Hardik Pandya,27.0,156.2,41.3,7.0,26.5
Harpreet Bhatia,11.25,74.5,0.0,0.0,0.0
Harpreet Brar,2.5,98.33333333333333,16.0,7.5,13.833333333333334
Harry Brook,0.0,0.0,0.0,0.0,0.0
Harshal Patel,9.25,87.41666666666667,37.25,8.833333333333334,23.416666666666668
Harshit Rana,0.6666666666666666,33.333333333333336,30.333333333333332,8.666666666666666,19.333333333333332
Heinrich Klaasen,33.75,151.25,0.0,0.0,0.0
Himanshu Sharma,0.0,0.0,0.0,9.0,0.0
Ishan Kishan,24.22222222222222,114.0,0.0,0.0,0.0
Ishant Sharma,2.0714285714285716,59.785714285714285,40.0,8.071428571428571,27.071428571428573
Jake Fraser-McGurk,0.0,0.0,0.0,0.0,0.0
Jasprit Bumrah,3.909090909090909,62.54545454545455,26.90909090909091,7.090909090909091,20.272727272727273
Jayant Yadav,2.857142857142857,27.142857142857142,33.42857142857143,6.285714285714286,29.571428571428573
Jaydev Unadkat,5.071428571428571,58.142857142857146,23.571428571428573,9.214285714285714,15.857142857142858
Jhathavedh Subramanyan,0.0,0.0,0.0,0.0,0.0
Jhye Richardson,7.0,62.0,39.0,10.0,22.0
Jitesh Sharma,23.333333333333332,147.66666666666666,0.0,0.0,0.0
Jonny Bairstow,31.6,151.2,0.0,0.0,0.0
Jos Buttler,34.0,144.88888888888889,0.0,0.0,0.0
Joshua Little,0.0,0.0,42.0,8.0,29.0
K.S Bharat,21.0,118.0,0.0,0.0,0.0
KL Rahul,42.63636363636363,129.36363636363637,0.0,0.0,0.0
Kagiso Rabada,8.285714285714286,88.42857142857143,23.142857142857142,8.0,16.285714285714285
Kane Williamson,30.555555555555557,107.44444444444444,0.0,2.111111111111111,0.0
Karn Sharma,5.181818181818182,60.27272727272727,20.727272727272727,7.909090909090909,13.909090909090908
Kartik Tyagi,2.25,58.0,60.5,10.0,32.75
Khaleel Ahmed,0.14285714285714285,7.142857142857143,23.0,9.142857142857142,15.714285714285714
Krishnappa Gowtham,15.4,121.8,67.2,8.0,47.0
Krunal Pandya,20.11111111111111,125.11111111111111,32.44444444444444,6.444444444444445,26.333333333333332
Kuldeep Sen,0.0,0.0,14.5,9.0,9.0
Kuldeep Yadav,13.125,69.625,37.0,7.375,28.25
Kumar Kartikeya Singh,4.5,72.5,32.5,7.5,23.0
Kumar Kushagra,0.0,0.0,0.0,0.0,0.0
Kunal Rathore,0.0,0.0,0.0,0.0,0.0
Kyle Mayers,29.0,144.0,0.0,8.0,0.0
Lalit Yadav,23.333333333333332,104.66666666666667,40.333333333333336,8.0,29.0
Liam Livingstone,31.2,150.6,16.0,6.8,8.8
Lockie Ferguson,0.3333333333333333,89.33333333333333,49.0,8.5,29.666666666666668
Luke Wood,0.0,0.0,0.0,12.0,0.0
M. Siddharth,0.0,0.0,0.0,0.0,0.0
MS Dhoni,38.529411764705884,127.94117647058823,0.0,0.0,0.0
Maheesh Theekshana,2.3333333333333335,33.333333333333336,18.666666666666668,8.0,14.333333333333334
Mahipal Lomror,15.857142857142858,157.0,6.714285714285714,4.571428571428571,6.0
Manav Suthar,0.0,0.0,0.0,0.0,0.0
Manish Pandey,30.1875,114.6875,0.0,0.0,0.0
Manoj Bhandage,0.0,0.0,0.0,0.0,0.0
Marco Jansen,5.5,79.5,21.75,9.25,15.25
Marcus Stoinis,24.11111111111111,123.66666666666667,34.333333333333336,8.333333333333334,21.0
Matheesha Pathirana,0.0,0.0,22.5,7.5,17.0
Matthew Wade,11.0,89.5,0.0,0.0,0.0
